title;authors;summary;categories;year;keywords
Systematicity in GPT-3's Interpretation of Novel English Noun Compounds;[arxiv.Result.Author('Siyan Li'), arxiv.Result.Author('Riley Carlson'), arxiv.Result.Author('Christopher Potts')];"Levin et al. (2019) show experimentally that the interpretations of novel
English noun compounds (e.g., stew skillet), while not fully compositional, are
highly predictable based on whether the modifier and head refer to artifacts or
natural kinds. Is the large language model GPT-3 governed by the same
interpretive principles? To address this question, we first compare Levin et
al.'s experimental data with GPT-3 generations, finding a high degree of
similarity. However, this evidence is consistent with GPT3 reasoning only about
specific lexical items rather than the more abstract conceptual categories of
Levin et al.'s theory. To probe more deeply, we construct prompts that require
the relevant kind of conceptual reasoning. Here, we fail to find convincing
evidence that GPT-3 is reasoning about more than just individual lexical items.
These results highlight the importance of controlling for low-level
distributional regularities when assessing whether a large language model
latently encodes a deeper theory.";['cs.CL'];2022;[(1.5, 'whether'), (1.5, 'theory'), (15.0, 'specific lexical items rather'), (1.0, 'similarity'), (4.0, 'show experimentally')]
Team Flow at DRC2022: Pipeline System for Travel Destination Recommendation Task in Spoken Dialogue;[arxiv.Result.Author('Ryu Hirai'), arxiv.Result.Author('Atsumoto Ohashi'), arxiv.Result.Author('Ao Guo'), arxiv.Result.Author('Hideki Shiroma'), arxiv.Result.Author('Xulin Zhou'), arxiv.Result.Author('Yukihiko Tone'), arxiv.Result.Author('Shinya Iizuka'), arxiv.Result.Author('Ryuichiro Higashinaka')];"To improve the interactive capabilities of a dialogue system, e.g., to adapt
to different customers, the Dialogue Robot Competition (DRC2022) was held. As
one of the teams, we built a dialogue system with a pipeline structure
containing four modules. The natural language understanding (NLU) and natural
language generation (NLG) modules were GPT-2 based models, and the dialogue
state tracking (DST) and policy modules were designed on the basis of
hand-crafted rules. After the preliminary round of the competition, we found
that the low variation in training examples for the NLU and failed
recommendation due to the policy used were probably the main reasons for the
limited performance of the system.";['cs.CL', 'cs.AI', 'cs.RO'];2022;[(4.0, 'training examples'), (1.0, 'teams'), (1.6666666666666667, 'system'), (1.0, 'probably'), (4.0, 'preliminary round')]
Textual Entailment Recognition with Semantic Features from Empirical Text Representation;[arxiv.Result.Author('Md Shajalal'), arxiv.Result.Author('Md Atabuzzaman'), arxiv.Result.Author('Maksuda Bilkis Baby'), arxiv.Result.Author('Md Rezaul Karim'), arxiv.Result.Author('Alexander Boden')];"Textual entailment recognition is one of the basic natural language
understanding(NLU) tasks. Understanding the meaning of sentences is a
prerequisite before applying any natural language processing(NLP) techniques to
automatically recognize the textual entailment. A text entails a hypothesis if
and only if the true value of the hypothesis follows the text. Classical
approaches generally utilize the feature value of each word from word embedding
to represent the sentences. In this paper, we propose a novel approach to
identifying the textual entailment relationship between text and hypothesis,
thereby introducing a new semantic feature focusing on empirical
threshold-based semantic text representation. We employ an element-wise
Manhattan distance vector-based feature that can identify the semantic
entailment relationship between the text-hypothesis pair. We carried out
several experiments on a benchmark entailment classification(SICK-RTE) dataset.
We train several machine learning(ML) algorithms applying both semantic and
lexical features to classify the text-hypothesis pair as entailment, neutral,
or contradiction. Our empirical sentence representation technique enriches the
semantic information of the texts and hypotheses found to be more efficient
than the classical ones. In the end, our approach significantly outperforms
known methods in understanding the meaning of the sentences for the textual
entailment classification task.";['cs.CL', 'cs.AI'];2022;[(3.5, 'word embedding'), (1.5, 'word'), (16.0, 'wise manhattan distance vector'), (2.0, 'understanding'), (2.0, 'understanding')]
Explainable Slot Type Attentions to Improve Joint Intent Detection and Slot Filling;[arxiv.Result.Author('Kalpa Gunaratna'), arxiv.Result.Author('Vijay Srinivasan'), arxiv.Result.Author('Akhila Yerukola'), arxiv.Result.Author('Hongxia Jin')];"Joint intent detection and slot filling is a key research topic in natural
language understanding (NLU). Existing joint intent and slot filling systems
analyze and compute features collectively for all slot types, and importantly,
have no way to explain the slot filling model decisions. In this work, we
propose a novel approach that: (i) learns to generate additional slot type
specific features in order to improve accuracy and (ii) provides explanations
for slot filling decisions for the first time in a joint NLU model. We perform
an additional constrained supervision using a set of binary classifiers for the
slot type specific feature learning, thus ensuring appropriate attention
weights are learned in the process to explain slot filling decisions for
utterances. Our model is inherently explainable and does not need any post-hoc
processing. We evaluate our approach on two widely used datasets and show
accuracy improvements. Moreover, a detailed analysis is also provided for the
exclusive slot explainability.";['cs.LG', 'cs.AI', 'cs.CL'];2022;[(1.0, 'work'), (1.0, 'way'), (1.0, 'utterances'), (16.0, 'two widely used datasets'), (25.0, 'thus ensuring appropriate attention weights')]
Simple and Effective Gradient-Based Tuning of Sequence-to-Sequence Models;[arxiv.Result.Author('Jared Lichtarge'), arxiv.Result.Author('Chris Alberti'), arxiv.Result.Author('Shankar Kumar')];"Recent trends towards training ever-larger language models have substantially
improved machine learning performance across linguistic tasks. However, the
huge cost of training larger models can make tuning them prohibitively
expensive, motivating the study of more efficient methods. Gradient-based
hyper-parameter optimization offers the capacity to tune hyper-parameters
during training, yet has not previously been studied in a sequence-to-sequence
setting. We apply a simple and general gradient-based hyperparameter
optimization method to sequence-to-sequence tasks for the first time,
demonstrating both efficiency and performance gains over strong baselines for
both Neural Machine Translation and Natural Language Understanding (NLU) tasks
(via T5 pretraining). For translation, we show the method generalizes across
language pairs, is more efficient than Bayesian hyper-parameter optimization,
and that learned schedules for some hyper-parameters can out-perform even
optimal constant-valued tuning. For T5, we show that learning hyper-parameters
during pretraining can improve performance across downstream NLU tasks. When
learning multiple hyper-parameters concurrently, we show that the global
learning rate can follow a schedule over training that improves performance and
is not explainable by the `short-horizon bias' of greedy methods
\citep{wu2018}. We release the code used to facilitate further research.";['cs.CL', 'cs.LG'];2022;[(1.0, 'yet'), (4.0, 'wu2018 }.'), (13.0, 'via t5 pretraining ).'), (4.0, 'valued tuning'), (4.0, 'tune hyper')]
Building the Intent Landscape of Real-World Conversational Corpora with Extractive Question-Answering Transformers;[arxiv.Result.Author('Jean-Philippe Corbeil'), arxiv.Result.Author('Mia Taige Li'), arxiv.Result.Author('Hadi Abdi Ghavidel')];"For companies with customer service, mapping intents inside their
conversational data is crucial in building applications based on natural
language understanding (NLU). Nevertheless, there is no established automated
technique to gather the intents from noisy online chats or voice transcripts.
Simple clustering approaches are not suited to intent-sparse dialogues. To
solve this intent-landscape task, we propose an unsupervised pipeline that
extracts the intents and the taxonomy of intents from real-world dialogues. Our
pipeline mines intent-span candidates with an extractive Question-Answering
Electra model and leverages sentence embeddings to apply a low-level density
clustering followed by a top-level hierarchical clustering. Our results
demonstrate the generalization ability of an ELECTRA large model fine-tuned on
the SQuAD2 dataset to understand dialogues. With the right prompting question,
this model achieves a rate of linguistic validation on intent spans beyond 85%.
We furthermore reconstructed the intent schemes of five domains from the
MultiDoGo dataset with an average recall of 94.3%.";['cs.CL', 'cs.AI', 'cs.LG'];2022;[(4.0, 'world dialogues'), (4.0, 'voice transcripts'), (4.5, 'unsupervised pipeline'), (4.0, 'understand dialogues'), (1.0, 'tuned')]
Unified Knowledge Prompt Pre-training for Customer Service Dialogues;[arxiv.Result.Author('Keqing He'), arxiv.Result.Author('Jingang Wang'), arxiv.Result.Author('Chaobo Sun'), arxiv.Result.Author('Wei Wu')];"Dialogue bots have been widely applied in customer service scenarios to
provide timely and user-friendly experience. These bots must classify the
appropriate domain of a dialogue, understand the intent of users, and generate
proper responses. Existing dialogue pre-training models are designed only for
several dialogue tasks and ignore weakly-supervised expert knowledge in
customer service dialogues. In this paper, we propose a novel unified knowledge
prompt pre-training framework, UFA (\textbf{U}nified Model \textbf{F}or
\textbf{A}ll Tasks), for customer service dialogues. We formulate all the tasks
of customer service dialogues as a unified text-to-text generation task and
introduce a knowledge-driven prompt strategy to jointly learn from a mixture of
distinct dialogue tasks. We pre-train UFA on a large-scale Chinese customer
service corpus collected from practical scenarios and get significant
improvements on both natural language understanding (NLU) and natural language
generation (NLG) benchmarks.";['cs.CL'];2022;[(4.0, 'widely applied'), (1.0, 'users'), (1.0, 'user'), (6.0, 'unified text'), (1.0, 'understand')]
InforMask: Unsupervised Informative Masking for Language Model Pretraining;[arxiv.Result.Author('Nafis Sadeq'), arxiv.Result.Author('Canwen Xu'), arxiv.Result.Author('Julian McAuley')];"Masked language modeling is widely used for pretraining large language models
for natural language understanding (NLU). However, random masking is
suboptimal, allocating an equal masking rate for all tokens. In this paper, we
propose InforMask, a new unsupervised masking strategy for training masked
language models. InforMask exploits Pointwise Mutual Information (PMI) to
select the most informative tokens to mask. We further propose two
optimizations for InforMask to improve its efficiency. With a one-off
preprocessing step, InforMask outperforms random masking and previously
proposed masking strategies on the factual recall benchmark LAMA and the
question answering benchmark SQuAD v1 and v2.";['cs.CL'];2022;[(4.0, 'widely used'), (1.0, 'v2'), (15.0, 'training masked language models'), (1.5, 'tokens'), (1.0, 'suboptimal')]
Alexa Teacher Model: Pretraining and Distilling Multi-Billion-Parameter Encoders for Natural Language Understanding Systems;[arxiv.Result.Author('Jack FitzGerald'), arxiv.Result.Author('Shankar Ananthakrishnan'), arxiv.Result.Author('Konstantine Arkoudas'), arxiv.Result.Author('Davide Bernardi'), arxiv.Result.Author('Abhishek Bhagia'), arxiv.Result.Author('Claudio Delli Bovi'), arxiv.Result.Author('Jin Cao'), arxiv.Result.Author('Rakesh Chada'), arxiv.Result.Author('Amit Chauhan'), arxiv.Result.Author('Luoxin Chen'), arxiv.Result.Author('Anurag Dwarakanath'), arxiv.Result.Author('Satyam Dwivedi'), arxiv.Result.Author('Turan Gojayev'), arxiv.Result.Author('Karthik Gopalakrishnan'), arxiv.Result.Author('Thomas Gueudre'), arxiv.Result.Author('Dilek Hakkani-Tur'), arxiv.Result.Author('Wael Hamza'), arxiv.Result.Author('Jonathan Hueser'), arxiv.Result.Author('Kevin Martin Jose'), arxiv.Result.Author('Haidar Khan'), arxiv.Result.Author('Beiye Liu'), arxiv.Result.Author('Jianhua Lu'), arxiv.Result.Author('Alessandro Manzotti'), arxiv.Result.Author('Pradeep Natarajan'), arxiv.Result.Author('Karolina Owczarzak'), arxiv.Result.Author('Gokmen Oz'), arxiv.Result.Author('Enrico Palumbo'), arxiv.Result.Author('Charith Peris'), arxiv.Result.Author('Chandana Satya Prakash'), arxiv.Result.Author('Stephen Rawls'), arxiv.Result.Author('Andy Rosenbaum'), arxiv.Result.Author('Anjali Shenoy'), arxiv.Result.Author('Saleh Soltan'), arxiv.Result.Author('Mukund Harakere Sridhar'), arxiv.Result.Author('Liz Tan'), arxiv.Result.Author('Fabian Triefenbach'), arxiv.Result.Author('Pan Wei'), arxiv.Result.Author('Haiyang Yu'), arxiv.Result.Author('Shuai Zheng'), arxiv.Result.Author('Gokhan Tur'), arxiv.Result.Author('Prem Natarajan')];"We present results from a large-scale experiment on pretraining encoders with
non-embedding parameter counts ranging from 700M to 9.3B, their subsequent
distillation into smaller models ranging from 17M-170M parameters, and their
application to the Natural Language Understanding (NLU) component of a virtual
assistant system. Though we train using 70% spoken-form data, our teacher
models perform comparably to XLM-R and mT5 when evaluated on the written-form
Cross-lingual Natural Language Inference (XNLI) corpus. We perform a second
stage of pretraining on our teacher models using in-domain data from our
system, improving error rates by 3.86% relative for intent classification and
7.01% relative for slot filling. We find that even a 170M-parameter model
distilled from our Stage 2 teacher model has 2.88% better intent classification
and 7.69% better slot filling error rates when compared to the 2.3B-parameter
teacher trained only on public data (Stage 1), emphasizing the importance of
in-domain data for pretraining. When evaluated offline using labeled NLU data,
our 17M-parameter Stage 2 distilled model outperforms both XLM-R Base (85M
params) and DistillBERT (42M params) by 4.23% to 6.14%, respectively. Finally,
we present results from a full virtual assistant experimentation platform,
where we find that models trained using our pretraining and distillation
pipeline outperform models distilled from 85M-parameter teachers by 3.74%-4.91%
on an automatic measurement of full-system user dissatisfaction.";['cs.CL', 'cs.AI', 'cs.LG', 'I.2.7'];2022;[(1.0, 'xnli'), (1.0, 'xlm'), (1.0, 'xlm'), (1.0, 'written'), (10.333333333333334, 'virtual assistant system')]
Large Language Models Still Can't Plan (A Benchmark for LLMs on Planning and Reasoning about Change);[arxiv.Result.Author('Karthik Valmeekam'), arxiv.Result.Author('Alberto Olmo'), arxiv.Result.Author('Sarath Sreedharan'), arxiv.Result.Author('Subbarao Kambhampati')];"Recent advances in large language models (LLMs) have transformed the field of
natural language processing (NLP). From GPT-3 to PaLM, the state-of-the-art
performance on natural language tasks is being pushed forward with every new
large language model. Along with natural language abilities, there has been a
significant interest in understanding whether such models exhibit reasoning
capabilities with the use of reasoning benchmarks. However, even though results
are seemingly positive, these benchmarks prove to be simplistic in nature and
the performance of LLMs on these benchmarks cannot be used as evidence to
support, many a times outlandish, claims being made about LLMs' reasoning
capabilities. Further, these only represent a very limited set of simple
reasoning tasks and we need to look at more sophisticated reasoning problems if
we are to measure the true limits of such LLM-based systems. Motivated by this,
we propose an extensible assessment framework to test the capabilities of LLMs
on reasoning about actions and change, a central aspect of human intelligence.
We provide multiple test cases that are more involved than any of the
previously established benchmarks and each test case evaluates a different
aspect of reasoning about actions and change. Results on GPT-3 (davinci),
Instruct-GPT3 (text-davinci-002) and BLOOM (176B), showcase subpar performance
on such reasoning tasks.";['cs.CL', 'cs.AI'];2022;[(1.0, 'used'), (1.0, 'use'), (4.0, 'understanding whether'), (4.0, 'true limits'), (1.0, 'transformed')]
reStructured Pre-training;[arxiv.Result.Author('Weizhe Yuan'), arxiv.Result.Author('Pengfei Liu')];"In this work, we try to decipher the internal connection of NLP technology
development in the past decades, searching for essence, which rewards us with a
(potential) new learning paradigm for NLP tasks, dubbed as reStructured
Pre-training (RST). In such a paradigm, the role of data will be re-emphasized,
and model pre-training and fine-tuning of downstream tasks are viewed as a
process of data storing and accessing. Based on that, we operationalize the
simple principle that a good storage mechanism should not only have the ability
to cache a large amount of data but also consider the ease of access. We
achieve this by pre-training models over restructured data that consist of a
variety of valuable information instead of raw data after overcoming several
engineering challenges. Experimentally, RST models not only surpass strong
competitors (e.g., T0) on 52/55 popular datasets from a variety of NLP tasks,
but also achieve superior performance in National College Entrance Examination
- English (Gaokao-English),the most authoritative examination in China.
Specifically, the proposed system Qin achieves 40 points higher than the
average scores made by students and 15 points higher than GPT3 with 1/16
parameters. In particular, Qin gets a high score of 138.5 (the full mark is
150) in the 2018 English exam (national paper III). We have released the Gaokao
Benchmark with an online submission platform.
  In addition, we test our model in the 2022 College Entrance Examination
English that happened a few days ago (2022.06.08), and it gets a total score of
134 (v.s. GPT3's 108).";['cs.CL', 'cs.AI', 'cs.LG'];2022;[(1.0, 'work'), (1.0, 'viewed'), (1.0, 'variety'), (1.0, 'variety'), (9.0, 'valuable information instead')]
Unified BERT for Few-shot Natural Language Understanding;[arxiv.Result.Author('Junyu Lu'), arxiv.Result.Author('Ping Yang'), arxiv.Result.Author('Ruyi Gan'), arxiv.Result.Author('Jing Yang'), arxiv.Result.Author('Jiaxing Zhang')];"Even as pre-trained language models share a semantic encoder, natural
language understanding suffers from a diversity of output schemas. In this
paper, we propose UBERT, a unified bidirectional language understanding model
based on BERT framework, which can universally model the training objects of
different NLU tasks through a biaffine network. Specifically, UBERT encodes
prior knowledge from various aspects, uniformly constructing learning
representations across multiple NLU tasks, which is conducive to enhancing the
ability to capture common semantic understanding. By using the biaffine to
model scores pair of the start and end position of the original text, various
classification and extraction structures can be converted into a universal,
span-decoding approach. Experiments show that UBERT wins the first price in the
2022 AIWIN - World Artificial Intelligence Innovation Competition, Chinese
insurance few-shot multi-task track, and realizes the unification of extensive
information extraction and linguistic reasoning tasks.";['cs.CL', 'cs.AI'];2022;[(25.0, 'world artificial intelligence innovation competition'), (4.0, 'various classification'), (4.0, 'various aspects'), (1.0, 'using'), (5.666666666666666, 'universally model')]
Meta Auxiliary Learning for Low-resource Spoken Language Understanding;[arxiv.Result.Author('Yingying Gao'), arxiv.Result.Author('Junlan Feng'), arxiv.Result.Author('Chao Deng'), arxiv.Result.Author('Shilei Zhang')];"Spoken language understanding (SLU) treats automatic speech recognition (ASR)
and natural language understanding (NLU) as a unified task and usually suffers
from data scarcity. We exploit an ASR and NLU joint training method based on
meta auxiliary learning to improve the performance of low-resource SLU task by
only taking advantage of abundant manual transcriptions of speech data. One
obvious advantage of such method is that it provides a flexible framework to
implement a low-resource SLU training task without requiring access to any
further semantic annotations. In particular, a NLU model is taken as label
generation network to predict intent and slot tags from texts; a multi-task
network trains ASR task and SLU task synchronously from speech; and the
predictions of label generation network are delivered to the multi-task network
as semantic targets. The efficiency of the proposed algorithm is demonstrated
with experiments on the public CATSLU dataset, which produces more suitable ASR
hypotheses for the downstream NLU task.";['eess.AS', 'cs.CL', 'cs.SD'];2022;[(4.0, 'usually suffers'), (5.75, 'unified task'), (14.333333333333334, 'treats automatic speech recognition'), (1.0, 'texts'), (18.25, 'task network trains asr task')]
ZoDIAC: Zoneout Dropout Injection Attention Calculation;[arxiv.Result.Author('Zanyar Zohourianshahzadi'), arxiv.Result.Author('Jugal Kalita')];"Recently the use of self-attention has yielded to state-of-the-art results in
vision-language tasks such as image captioning as well as natural language
understanding and generation (NLU and NLG) tasks and computer vision tasks such
as image classification. This is since self-attention maps the internal
interactions among the elements of input source and target sequences. Although
self-attention successfully calculates the attention values and maps the
relationships among the elements of input source and target sequence, yet there
is no mechanism to control the intensity of attention. In real world, when
communicating with each other face to face or vocally, we tend to express
different visual and linguistic context with various amounts of intensity. Some
words might carry (be spoken with) more stress and weight indicating the
importance of that word in the context of the whole sentence. Based on this
intuition, we propose Zoneout Dropout Injection Attention Calculation (ZoDIAC)
in which the intensities of attention values in the elements of the input
sequence are calculated with respect to the context of the elements of input
sequence. The results of our experiments reveal that employing ZoDIAC leads to
better performance in comparison with the self-attention module in the
Transformer model. The ultimate goal is to find out if we could modify
self-attention module in the Transformer model with a method that is
potentially extensible to other models that leverage on self-attention at their
core. Our findings suggest that this particular goal deserves further attention
and investigation by the research community.
  The code for ZoDIAC is available on www.github.com/zanyarz/zodiac .";['cs.CV'];2022;[(1.5, 'zodiac'), (1.5, 'zodiac'), (1.5, 'zodiac'), (1.0, 'zanyarz'), (1.0, 'yielded')]
Not Cheating on the Turing Test: Towards Grounded Language Learning in Artificial Intelligence;[arxiv.Result.Author('Lize Alberts')];"Recent hype surrounding the increasing sophistication of language processing
models has renewed optimism regarding machines achieving a human-like command
of natural language. Research in the area of natural language understanding
(NLU) in artificial intelligence claims to have been making great strides in
this area, however, the lack of conceptual clarity/consistency in how
'understanding' is used in this and other disciplines makes it difficult to
discern how close we actually are. In this interdisciplinary research thesis, I
integrate insights from cognitive science/psychology, philosophy of mind, and
cognitive linguistics, and evaluate it against a critical review of current
approaches in NLU to explore the basic requirements--and remaining
challenges--for developing artificially intelligent systems with human-like
capacities for language use and comprehension.";"['cs.CL', 'cs.AI', '68T01', 'F.0; J.0; J.4; I.2']";2022;[(1.0, 'used'), (2.0, 'understanding'), (2.0, 'research'), (25.0, 'renewed optimism regarding machines achieving'), (9.0, 'remaining challenges --')]
Compressing Pre-trained Transformers via Low-Bit NxM Sparsity for Natural Language Understanding;[arxiv.Result.Author('Connor Holmes'), arxiv.Result.Author('Minjia Zhang'), arxiv.Result.Author('Yuxiong He'), arxiv.Result.Author('Bo Wu')];"In recent years, large pre-trained Transformer networks have demonstrated
dramatic improvements in many natural language understanding tasks. However,
the huge size of these models brings significant challenges to their
fine-tuning and online deployment due to latency and cost constraints. New
hardware supporting both N:M semi-structured sparsity and low-precision integer
computation is a promising solution to boost DNN model serving efficiency.
However, there have been very few studies that systematically investigate to
what extent pre-trained Transformer networks benefit from the combination of
these techniques, as well as how to best compress each component of the
Transformer. We propose a flexible compression framework NxMiFormer that
performs simultaneous sparsification and quantization using ADMM and STE-based
QAT. Furthermore, we present and inexpensive, heuristic-driven search algorithm
that identifies promising heterogeneous compression configurations that meet a
compression ratio constraint. When evaluated across the GLUE suite of NLU
benchmarks, our approach can achieve up to 93% compression of the encoders of a
BERT model while retaining 98.2% of the original model accuracy and taking full
advantage of the hardware's capabilities. Heterogeneous configurations found
the by the search heuristic maintain 99.5% of the baseline accuracy while still
compressing the model by 87.5%.";['cs.CL', 'cs.AI'];2022;[(1.0, 'well'), (1.0, 'tuning'), (2.6666666666666665, 'transformer'), (13.666666666666666, 'trained transformer networks benefit'), (9.666666666666666, 'trained transformer networks')]
Is neural language acquisition similar to natural? A chronological probing study;[arxiv.Result.Author('Ekaterina Voloshina'), arxiv.Result.Author('Oleg Serikov'), arxiv.Result.Author('Tatiana Shavrina')];"The probing methodology allows one to obtain a partial representation of
linguistic phenomena stored in the inner layers of the neural network, using
external classifiers and statistical analysis. Pre-trained transformer-based
language models are widely used both for natural language understanding (NLU)
and natural language generation (NLG) tasks making them most commonly used for
downstream applications. However, little analysis was carried out, whether the
models were pre-trained enough or contained knowledge correlated with
linguistic theory. We are presenting the chronological probing study of
transformer English models such as MultiBERT and T5. We sequentially compare
the information about the language learned by the models in the process of
training on corpora. The results show that 1) linguistic information is
acquired in the early stages of training 2) both language models demonstrate
capabilities to capture various features from various levels of language,
including morphology, syntax, and even discourse, while they also can
inconsistently fail on tasks that are perceived as easy. We also introduce the
open-source framework for chronological probing research, compatible with other
transformer-based models.
https://github.com/EkaterinaVoloshina/chronological_probing";['cs.CL'];2022;[(4.0, 'widely used'), (1.0, 'whether'), (4.5, 'various levels'), (9.0, 'using external classifiers'), (7.333333333333334, 'transformer english models')]
A Customised Text Privatisation Mechanism with Differential Privacy;[arxiv.Result.Author('Huimin Chen'), arxiv.Result.Author('Fengran Mo'), arxiv.Result.Author('Cen Chen'), arxiv.Result.Author('Jamie Cui'), arxiv.Result.Author('Jian-Yun Nie')];"In Natural Language Understanding (NLU) applications, training an effective
model often requires a massive amount of data. However, text data in the real
world are scattered in different institutions or user devices. Directly sharing
them with NLU service provider brings huge privacy risks, as text data often
contains sensitive information, leading to potential privacy leakage. A typical
way to protect privacy is to directly privatize raw text and leverage
Differential Privacy (DP) to quantify the privacy protection level. However,
existing text privatization mechanisms that privatize text by applying
$d_{\mathcal{\chi}}$-privacy are not applicable for all similarity metrics and
fail to achieve a good privacy-utility trade-off. This is primarily because (1)
$d_{\mathcal{\chi}}$-privacy's strict requirements for similarity metrics; (2)
they treat each input token equally. Bad utility-privacy trade-off performance
impedes the adoption of current text privatization mechanisms in real-world
applications. In this paper, we propose a Customised differentially private
Text privatization mechanism (CusText) that assigns each input token a
customized output set to provide more advanced adaptive privacy protection at
the token level. It also overcomes the limitation for the similarity metrics
caused by $d_{\mathcal{\chi}}$-privacy notion, by turning the mechanism to
satisfy $\epsilon$-DP. Furthermore, we provide two new text privatization
strategies to boost the utility of privatized text without compromising privacy
and design a new attack strategy for further evaluating the protection level of
our mechanism empirically from a new attack's view. We also conduct extensive
experiments on two widely used datasets to demonstrate that our proposed
mechanism CusText can achieve a better privacy-utility trade-off and practical
application value than the existing methods.";['cs.CR'];2022;[(3.5, 'world applications'), (1.0, 'view'), (3.75, 'utility trade'), (3.75, 'utility trade'), (1.75, 'utility')]
Emotion detection of social data: APIs comparative study;[arxiv.Result.Author('Bilal Abu-Salih'), arxiv.Result.Author('Mohammad Alhabashneh'), arxiv.Result.Author('Dengya Zhu'), arxiv.Result.Author('Albara Awajan'), arxiv.Result.Author('Yazan Alshamaileh'), arxiv.Result.Author('Bashar Al-Shboul'), arxiv.Result.Author('Mohammad Alshraideh')];"The development of emotion detection technology has emerged as a highly
valuable possibility in the corporate sector due to the nearly limitless uses
of this new discipline, particularly with the unceasing propagation of social
data. In recent years, the electronic marketplace has witnessed the
establishment of a large number of start-up businesses with an almost sole
focus on building new commercial and open-source tools and APIs for emotion
detection and recognition. Yet, these tools and APIs must be continuously
reviewed and evaluated, and their performances should be reported and
discussed. There is a lack of research to empirically compare current emotion
detection technologies in terms of the results obtained from each model using
the same textual dataset. Also, there is a lack of comparative studies that
apply benchmark comparison to social data. This study compares eight
technologies; IBM Watson NLU, ParallelDots, Symanto-Ekman, Crystalfeel, Text to
Emotion, Senpy, Textprobe, and NLP Cloud. The comparison was undertaken using
two different datasets. The emotions from the chosen datasets were then derived
using the incorporated APIs. The performance of these APIs was assessed using
the aggregated scores that they delivered as well as the theoretically proven
evaluation metrics such as the micro-average of accuracy, classification error,
precision, recall, and f1-score. Lastly, the assessment of these APIs
incorporating the evaluation measures is reported and discussed.";['cs.CL', 'cs.AI'];2022;[(1.0, 'yet'), (1.0, 'witnessed'), (1.0, 'well'), (21.25, 'undertaken using two different datasets'), (4.0, 'unceasing propagation')]
End-to-End Spoken Language Understanding: Performance analyses of a voice command task in a low resource setting;[arxiv.Result.Author('Thierry Desot'), arxiv.Result.Author('François Portet'), arxiv.Result.Author('Michel Vacher')];"Spoken Language Understanding (SLU) is a core task in most human-machine
interaction systems. With the emergence of smart homes, smart phones and smart
speakers, SLU has become a key technology for the industry. In a classical SLU
approach, an Automatic Speech Recognition (ASR) module transcribes the speech
signal into a textual representation from which a Natural Language
Understanding (NLU) module extracts semantic information. Recently End-to-End
SLU (E2E SLU) based on Deep Neural Networks has gained momentum since it
benefits from the joint optimization of the ASR and the NLU parts, hence
limiting the cascade of error effect of the pipeline architecture. However,
little is known about the actual linguistic properties used by E2E models to
predict concepts and intents from speech input. In this paper, we present a
study identifying the signal features and other linguistic properties used by
an E2E model to perform the SLU task. The study is carried out in the
application domain of a smart home that has to handle non-English (here French)
voice commands. The results show that a good E2E SLU performance does not
always require a perfect ASR capability. Furthermore, the results show the
superior capabilities of the E2E model in handling background noise and
syntactic variation compared to the pipeline model. Finally, a finer-grained
analysis suggests that the E2E model uses the pitch information of the input
signal to identify voice command concepts. The results and methodology outlined
in this paper provide a springboard for further analyses of E2E models in
speech processing.";['cs.CL', 'cs.SD', 'eess.AS'];2022;[(5.0, 'voice commands'), (4.0, 'textual representation'), (9.0, 'syntactic variation compared'), (4.0, 'superior capabilities'), (3.5, 'study identifying')]
On the cross-lingual transferability of multilingual prototypical models across NLU tasks;[arxiv.Result.Author('Oralie Cattan'), arxiv.Result.Author('Christophe Servan'), arxiv.Result.Author('Sophie Rosset')];"Supervised deep learning-based approaches have been applied to task-oriented
dialog and have proven to be effective for limited domain and language
applications when a sufficient number of training examples are available. In
practice, these approaches suffer from the drawbacks of domain-driven design
and under-resourced languages. Domain and language models are supposed to grow
and change as the problem space evolves. On one hand, research on transfer
learning has demonstrated the cross-lingual ability of multilingual
Transformers-based models to learn semantically rich representations. On the
other, in addition to the above approaches, meta-learning have enabled the
development of task and language learning algorithms capable of far
generalization. Through this context, this article proposes to investigate the
cross-lingual transferability of using synergistically few-shot learning with
prototypical neural networks and multilingual Transformers-based models.
Experiments in natural language understanding tasks on MultiATIS++ corpus shows
that our approach substantially improves the observed transfer learning
performances between the low and the high resource languages. More generally
our approach confirms that the meaningful latent space learned in a given
language can be can be generalized to unseen and under-resourced ones using
meta-learning.";['cs.CL', '68T50', 'I.2.7'];2022;[(5.0, 'using synergistically'), (1.0, 'unseen'), (5.428571428571429, 'transfer learning'), (4.0, 'training examples'), (1.0, 'task')]
